country_code,country_name,year,gdp_current_usd,inflation_percent,population,unemployment_percent
AUS,Australia,2024,1757022451652.83,3.16656665428797,27196812.0,3.942
BRA,Brazil,2024,2185821648943.86,4.36746407652336,211998573.0,6.801
CAN,Canada,2024,2243636826633.76,2.38158383281173,41288599.0,6.351
CHN,China,2024,18743803170827.2,0.218128938439177,1408975000.0,4.59
DEU,Germany,2024,4685592577804.69,2.2564981433876,83516593.0,3.4
FRA,France,2024,3160442622465.08,1.99904942291462,68551653.0,7.4
GBR,United Kingdom,2024,3686033044482.13,3.2715729463592,69226000.0,4.361
IND,India,2024,3909891533858.08,4.95303550973656,1450935791.0,4.173
JPN,Japan,2024,4027597523550.58,2.73853681635241,123975371.0,2.5
USA,United States,2024,28750956130731.2,2.94952520485207,340110988.0,4.022
